gender,age,age_o,samerace,int_corr,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr,sinc,intel,fun,amb,shar,like,prob,dec,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec_o,match,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1
0,27.0,26.0,0,0.16,17.39,17.39,15.22,17.39,13.04,19.57,7.0,9.0,7.0,9.0,6.0,9.0,8.0,7.0,0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,6.0,1,0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,10.0,9.0,10.0,10.0
0,27.0,32.0,1,0.34,20.0,20.0,20.0,20.0,6.67,13.33,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,0,8.0,7.0,4.0,6.0,6.0,4.0,8.0,6.0,1,0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,10.0,9.0,10.0,10.0
0,27.0,29.0,1,0.13,18.6,16.28,18.6,18.6,11.63,16.28,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,1,16.67,16.67,16.67,16.67,16.67,16.67,8.0,10.0,9.0,10.0,10.0
0,27.0,28.0,0,0.05,20.83,20.83,16.67,16.67,6.25,18.75,5.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,1,0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,10.0,9.0,10.0,10.0
0,24.0,26.0,1,-0.15,17.39,17.39,15.22,17.39,13.04,19.57,7.0,7.0,7.0,8.0,6.0,8.0,7.0,7.0,0,6.0,10.0,10.0,6.0,7.0,5.0,7.0,6.0,0,0,12.77,17.02,19.15,17.02,14.89,19.15,6.0,8.0,8.0,7.0,7.0
0,24.0,32.0,0,-0.51,20.0,20.0,20.0,20.0,6.67,13.33,7.0,6.0,8.0,7.0,8.0,6.0,6.0,5.0,0,3.0,8.0,8.0,9.0,8.0,1.0,1.0,1.0,0,0,12.77,17.02,19.15,17.02,14.89,19.15,6.0,8.0,8.0,7.0,7.0
0,24.0,29.0,0,-0.35,18.6,16.28,18.6,18.6,11.63,16.28,8.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,0,5.0,9.0,8.0,6.0,8.0,6.0,6.0,6.0,0,0,12.77,17.02,19.15,17.02,14.89,19.15,6.0,8.0,8.0,7.0,7.0
0,24.0,28.0,0,0.19,20.83,20.83,16.67,16.67,6.25,18.75,5.0,6.0,5.0,7.0,5.0,6.0,5.0,5.0,0,6.0,10.0,9.0,9.0,6.0,5.0,8.0,8.0,1,0,12.77,17.02,19.15,17.02,14.89,19.15,6.0,8.0,8.0,7.0,7.0
0,23.0,26.0,0,-0.1,17.39,17.39,15.22,17.39,13.04,19.57,8.0,9.0,7.0,9.0,10.0,8.0,9.0,6.0,1,9.0,9.0,9.0,8.0,8.0,7.0,9.0,6.0,1,1,6.67,22.22,20.0,17.78,17.78,15.56,7.0,8.0,8.0,8.0,8.0
0,23.0,32.0,1,-0.06,20.0,20.0,20.0,20.0,6.67,13.33,7.0,8.0,9.0,8.0,7.0,8.0,7.0,5.0,1,3.0,8.0,8.0,2.0,7.0,1.0,1.0,8.0,0,0,6.67,22.22,20.0,17.78,17.78,15.56,7.0,8.0,8.0,8.0,8.0
0,23.0,28.0,0,-0.1,20.83,20.83,16.67,16.67,6.25,18.75,6.0,5.0,6.0,5.0,6.0,4.0,5.0,2.0,0,7.0,8.0,8.0,7.0,6.0,5.0,7.0,7.0,1,0,6.67,22.22,20.0,17.78,17.78,15.56,7.0,8.0,8.0,8.0,8.0
1,26.0,27.0,0,0.16,16.67,16.67,16.67,16.67,16.67,16.67,8.0,8.0,9.0,8.0,9.0,7.0,7.0,6.0,1,7.0,9.0,7.0,9.0,6.0,9.0,8.0,7.0,0,0,16.67,16.67,16.67,18.75,12.5,18.75,7.0,9.0,9.0,8.0,8.0
1,26.0,24.0,1,-0.15,12.77,19.15,17.02,17.02,14.89,19.15,6.0,10.0,10.0,6.0,7.0,5.0,7.0,6.0,0,7.0,7.0,7.0,8.0,6.0,8.0,7.0,7.0,0,0,16.67,16.67,16.67,18.75,12.5,18.75,7.0,9.0,9.0,8.0,8.0
1,26.0,23.0,0,-0.1,6.67,20.0,20.0,17.78,20.0,15.56,9.0,9.0,9.0,8.0,8.0,7.0,9.0,6.0,1,8.0,9.0,7.0,9.0,10.0,8.0,9.0,6.0,1,1,16.67,16.67,16.67,18.75,12.5,18.75,7.0,9.0,9.0,8.0,8.0
1,32.0,27.0,1,0.34,16.67,16.67,16.67,16.67,16.67,16.67,8.0,7.0,4.0,6.0,6.0,4.0,8.0,6.0,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,0,0,19.57,19.57,19.57,19.57,8.7,13.04,8.0,8.0,8.0,8.0,8.0
1,32.0,24.0,0,-0.51,12.77,19.15,17.02,17.02,14.89,19.15,3.0,8.0,8.0,9.0,8.0,1.0,1.0,1.0,0,7.0,6.0,8.0,7.0,8.0,6.0,6.0,5.0,0,0,19.57,19.57,19.57,19.57,8.7,13.04,8.0,8.0,8.0,8.0,8.0
1,32.0,23.0,1,-0.06,6.67,20.0,20.0,17.78,20.0,15.56,3.0,8.0,8.0,2.0,7.0,1.0,1.0,8.0,0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,5.0,1,0,19.57,19.57,19.57,19.57,8.7,13.04,8.0,8.0,8.0,8.0,8.0
